po_id,supplier_id,sku,category,uom,ordered_qty,agreed_unit_price,currency,supplier_status
PO-70044,SUP-108,PKG-BOX-04,Packaging,EA,375,20.6,EGP,Approved
PO-70045,SUP-101,SEC-ACC-02,Security,EA,510,374.1,EGP,Approved
PO-70046,SUP-110,OFF-SUP-05,Office Supplies,EA,575,12.19,EGP,Approved
PO-70047,SUP-111,IT-ACCESS-04,IT Peripherals,EA,397,124.73,EGP,Approved
PO-70048,SUP-104,FAC-CLEAN-01,Facilities,EA,463,76.86,EGP,Approved
PO-70049,SUP-107,PKG-BOX-05,Packaging,EA,42,17.25,EGP,Approved
PO-70050,SUP-105,LOG-EXP-03,Logistics,EA,28,233.73,EGP,Approved
PO-70051,SUP-103,OFF-SUP-03,Office Supplies,EA,549,9.71,EGP,Approved
PO-70052,SUP-110,OFF-SUP-03,Office Supplies,EA,607,9.93,EGP,Approved
PO-70053,SUP-107,LOG-EXP-02,Logistics,EA,638,218.14,EGP,Approved
PO-70054,SUP-110,LOG-EXP-02,Logistics,EA,186,248.29,EGP,Approved
PO-70055,SUP-102,PKG-BOX-04,Packaging,EA,97,19.78,EGP,Approved
PO-70056,SUP-102,IT-ACCESS-03,IT Peripherals,EA,30,137.37,EGP,Approved
PO-70057,SUP-100,IT-ACCESS-01,IT Peripherals,EA,169,134.22,EGP,Approved
PO-70058,SUP-105,MRO-FLT-04,MRO,EA,389,159.93,EGP,Approved
PO-70059,SUP-106,PKG-BOX-02,Packaging,EA,385,18.73,EGP,Approved
PO-70060,SUP-101,FAC-CLEAN-01,Facilities,EA,681,71.64,EGP,Approved
PO-70061,SUP-104,CAT-SERV-04,Catering,EA,124,78.89,EGP,Approved
PO-70062,SUP-105,PKG-BOX-05,Packaging,EA,120,18.93,EGP,Approved
PO-70063,SUP-103,MRO-FLT-05,MRO,EA,187,152.88,EGP,Approved
PO-70064,SUP-108,SEC-ACC-03,Security,EA,399,323.71,EGP,Approved
PO-70065,SUP-110,MRO-FLT-01,MRO,EA,281,141.57,EGP,Approved
PO-70066,SUP-104,MRO-FLT-03,MRO,EA,351,155.01,EGP,Approved
PO-70067,SUP-101,OFF-SUP-04,Office Supplies,EA,182,10.1,EGP,Approved
PO-70068,SUP-103,PKG-BOX-02,Packaging,EA,544,18.9,EGP,Approved
PO-70069,SUP-106,SEC-ACC-01,Security,EA,337,325.14,EGP,Approved
PO-70070,SUP-107,CAT-SERV-05,Catering,EA,116,93.8,EGP,Approved
PO-70071,SUP-111,PKG-BOX-04,Packaging,EA,122,18.76,EGP,Approved
PO-70072,SUP-108,MRO-FLT-04,MRO,EA,355,146.1,EGP,Approved
PO-70073,SUP-109,OFF-SUP-02,Office Supplies,EA,538,11.04,EGP,Approved
PO-70074,SUP-106,PKG-BOX-05,Packaging,EA,542,19.76,EGP,Approved
PO-70075,SUP-106,LOG-EXP-04,Logistics,EA,359,231.49,EGP,Approved
PO-70076,SUP-100,FAC-CLEAN-03,Facilities,EA,250,67.1,EGP,Approved
PO-70077,SUP-106,MRO-FLT-04,MRO,EA,24,150.95,EGP,Approved
PO-70078,SUP-107,SEC-ACC-01,Security,EA,634,355.63,EGP,Approved
PO-70079,SUP-107,PKG-BOX-03,Packaging,EA,396,16.03,EGP,Approved
PO-70080,SUP-100,LOG-EXP-04,Logistics,EA,104,213.42,EGP,Approved
PO-70081,SUP-100,PKG-BOX-02,Packaging,EA,559,17.08,EGP,Approved
PO-70082,SUP-100,IT-ACCESS-02,IT Peripherals,EA,273,109.29,EGP,Approved
PO-70083,SUP-108,SEC-ACC-05,Security,EA,522,332.34,EGP,Approved
PO-70084,SUP-111,IT-ACCESS-01,IT Peripherals,EA,369,133.55,EGP,Approved
PO-70085,SUP-104,FAC-CLEAN-05,Facilities,EA,599,62.48,EGP,Approved
PO-70086,SUP-106,LOG-EXP-01,Logistics,EA,622,191.77,EGP,Approved
PO-70087,SUP-107,CAT-SERV-05,Catering,EA,221,93.19,EGP,Approved
PO-70088,SUP-100,MRO-FLT-04,MRO,EA,286,166.91,EGP,Approved
PO-70089,SUP-106,FAC-CLEAN-04,Facilities,EA,32,57.32,EGP,Approved
PO-70090,SUP-106,SEC-ACC-01,Security,EA,387,331.66,EGP,Approved
PO-70091,SUP-102,OFF-SUP-05,Office Supplies,EA,421,12.97,EGP,Approved
PO-70092,SUP-100,SEC-ACC-05,Security,EA,212,320.2,EGP,Approved
PO-70093,SUP-108,MRO-FLT-04,MRO,EA,193,166.59,EGP,Approved
PO-70094,SUP-103,OFF-SUP-02,Office Supplies,EA,669,11.9,EGP,Approved
PO-70095,SUP-100,IT-ACCESS-02,IT Peripherals,EA,187,109.61,EGP,Approved
PO-70096,SUP-107,IT-ACCESS-05,IT Peripherals,EA,281,97.98,EGP,Approved
PO-70097,SUP-103,IT-ACCESS-01,IT Peripherals,EA,96,137.4,EGP,Approved
PO-70098,SUP-106,PKG-BOX-03,Packaging,EA,550,16.5,EGP,Approved
PO-70099,SUP-104,OFF-SUP-03,Office Supplies,EA,175,10.08,EGP,Approved
PO-70100,SUP-103,IT-ACCESS-02,IT Peripherals,EA,113,125.69,EGP,Approved
PO-70101,SUP-105,MRO-FLT-05,MRO,EA,184,153.37,EGP,Approved
PO-70102,SUP-105,MRO-FLT-05,MRO,EA,130,158.32,EGP,Approved
PO-70103,SUP-110,MRO-FLT-05,MRO,EA,689,148.33,EGP,Approved
PO-70104,SUP-104,MRO-FLT-01,MRO,EA,452,140.66,EGP,Approved
PO-70105,SUP-108,OFF-SUP-02,Office Supplies,EA,594,12.33,EGP,Approved
PO-70106,SUP-101,SEC-ACC-02,Security,EA,475,345.79,EGP,Approved
PO-70107,SUP-111,MRO-FLT-03,MRO,EA,412,150.23,EGP,Approved
PO-70108,SUP-100,OFF-SUP-04,Office Supplies,EA,324,10.4,EGP,Approved
PO-70109,SUP-102,FAC-CLEAN-02,Facilities,EA,596,67.33,EGP,Approved
PO-70110,SUP-108,MRO-FLT-02,MRO,EA,344,139.43,EGP,Approved
PO-70111,SUP-109,IT-ACCESS-02,IT Peripherals,EA,263,116.06,EGP,Approved
PO-70112,SUP-101,PKG-BOX-04,Packaging,EA,264,18.75,EGP,Approved
PO-70113,SUP-105,LOG-EXP-04,Logistics,EA,618,244.28,EGP,Approved
PO-70114,SUP-109,MRO-FLT-02,MRO,EA,665,125.42,EGP,Approved
PO-70115,SUP-108,PKG-BOX-03,Packaging,EA,329,16.84,EGP,Approved
PO-70116,SUP-103,OFF-SUP-01,Office Supplies,EA,256,11.04,EGP,Approved
PO-70117,SUP-102,IT-ACCESS-03,IT Peripherals,EA,249,130.66,EGP,Approved
PO-70118,SUP-111,IT-ACCESS-01,IT Peripherals,EA,514,121.53,EGP,Approved
PO-70119,SUP-106,PKG-BOX-05,Packaging,EA,58,17.99,EGP,Approved
PO-70120,SUP-105,OFF-SUP-02,Office Supplies,EA,620,11.41,EGP,Approved
PO-70121,SUP-111,IT-ACCESS-05,IT Peripherals,EA,437,113.03,EGP,Approved
PO-70122,SUP-101,PKG-BOX-03,Packaging,EA,575,15.94,EGP,Approved
PO-70123,SUP-110,IT-ACCESS-05,IT Peripherals,EA,274,109.36,EGP,Approved
PO-70124,SUP-109,IT-ACCESS-02,IT Peripherals,EA,49,126.12,EGP,Approved
PO-70125,SUP-110,FAC-CLEAN-03,Facilities,EA,440,69.6,EGP,Approved
PO-70126,SUP-110,MRO-FLT-03,MRO,EA,528,160.56,EGP,Approved
PO-70127,SUP-110,IT-ACCESS-03,IT Peripherals,EA,22,133.29,EGP,Approved
PO-70128,SUP-101,LOG-EXP-05,Logistics,EA,264,221.37,EGP,Approved
PO-70129,SUP-102,CAT-SERV-04,Catering,EA,131,76.41,EGP,Approved
PO-70130,SUP-105,IT-ACCESS-03,IT Peripherals,EA,680,133.59,EGP,Approved
PO-70131,SUP-105,LOG-EXP-05,Logistics,EA,590,220.33,EGP,Approved
PO-70132,SUP-107,OFF-SUP-02,Office Supplies,EA,56,12.44,EGP,Approved
PO-70133,SUP-100,SEC-ACC-01,Security,EA,395,331.46,EGP,Approved
PO-70134,SUP-107,SEC-ACC-02,Security,EA,357,389.51,EGP,Approved
PO-70135,SUP-107,OFF-SUP-02,Office Supplies,EA,69,12.74,EGP,Approved
PO-70136,SUP-100,MRO-FLT-04,MRO,EA,691,166.34,EGP,Approved
PO-70137,SUP-111,LOG-EXP-05,Logistics,EA,505,214.31,EGP,Approved
PO-70138,SUP-110,OFF-SUP-05,Office Supplies,EA,244,12.96,EGP,Approved
PO-70139,SUP-101,SEC-ACC-04,Security,EA,240,315.22,EGP,Approved
PO-70140,SUP-109,FAC-CLEAN-02,Facilities,EA,659,67.25,EGP,Approved
PO-70141,SUP-103,LOG-EXP-02,Logistics,EA,211,252.44,EGP,Approved
PO-70142,SUP-107,MRO-FLT-04,MRO,EA,526,159.65,EGP,Approved
PO-70143,SUP-100,MRO-FLT-02,MRO,EA,386,141.93,EGP,Approved
PO-70144,SUP-103,LOG-EXP-04,Logistics,EA,602,229.96,EGP,Approved
PO-70145,SUP-111,CAT-SERV-04,Catering,EA,234,88.95,EGP,Approved
PO-70146,SUP-102,OFF-SUP-03,Office Supplies,EA,432,10.01,EGP,Approved
PO-70147,SUP-109,OFF-SUP-02,Office Supplies,EA,217,11.25,EGP,Approved
PO-70148,SUP-101,FAC-CLEAN-05,Facilities,EA,495,60.1,EGP,Approved
PO-70149,SUP-105,IT-ACCESS-02,IT Peripherals,EA,292,125.96,EGP,Approved
PO-70150,SUP-103,FAC-CLEAN-05,Facilities,EA,343,65.71,EGP,Approved
PO-70151,SUP-106,MRO-FLT-01,MRO,EA,185,155.33,EGP,Approved
PO-70152,SUP-101,IT-ACCESS-05,IT Peripherals,EA,484,113.43,EGP,Approved
PO-70153,SUP-108,LOG-EXP-05,Logistics,EA,538,215.93,EGP,Approved
PO-70154,SUP-108,OFF-SUP-05,Office Supplies,EA,564,12.64,EGP,Approved
PO-70155,SUP-103,MRO-FLT-02,MRO,EA,65,124.31,EGP,Approved
PO-70156,SUP-108,OFF-SUP-02,Office Supplies,EA,579,11.25,EGP,Approved
PO-70157,SUP-100,SEC-ACC-03,Security,EA,83,298.16,EGP,Approved
PO-70158,SUP-103,PKG-BOX-04,Packaging,EA,270,18.88,EGP,Approved
PO-70159,SUP-101,FAC-CLEAN-03,Facilities,EA,139,74.23,EGP,Approved
PO-70160,SUP-111,PKG-BOX-03,Packaging,EA,287,16.58,EGP,Approved
PO-70161,SUP-111,OFF-SUP-02,Office Supplies,EA,216,12.33,EGP,Approved
PO-70162,SUP-106,IT-ACCESS-02,IT Peripherals,EA,53,119.71,EGP,Approved
PO-70163,SUP-104,SEC-ACC-04,Security,EA,401,301.92,EGP,Approved
PO-70164,SUP-110,OFF-SUP-03,Office Supplies,EA,64,9.53,EGP,Approved
PO-70165,SUP-101,CAT-SERV-01,Catering,EA,339,81.3,EGP,Approved
PO-70166,SUP-100,OFF-SUP-03,Office Supplies,EA,165,9.69,EGP,Approved
PO-70167,SUP-102,SEC-ACC-05,Security,EA,237,310.01,EGP,Approved
PO-70168,SUP-109,FAC-CLEAN-04,Facilities,EA,624,61.72,EGP,Approved
PO-70169,SUP-102,IT-ACCESS-05,IT Peripherals,EA,599,109.68,EGP,Approved
PO-70170,SUP-103,IT-ACCESS-03,IT Peripherals,EA,338,134.54,EGP,Approved
PO-70171,SUP-103,PKG-BOX-05,Packaging,EA,680,18.35,EGP,Approved
PO-70172,SUP-111,FAC-CLEAN-03,Facilities,EA,90,74.71,EGP,Approved
PO-70173,SUP-104,OFF-SUP-01,Office Supplies,EA,650,11.66,EGP,Approved
PO-70174,SUP-103,PKG-BOX-04,Packaging,EA,467,19.94,EGP,Approved
PO-70175,SUP-106,FAC-CLEAN-02,Facilities,EA,511,68.85,EGP,Approved
PO-70176,SUP-111,SEC-ACC-04,Security,EA,650,312.36,EGP,Approved
PO-70177,SUP-111,CAT-SERV-02,Catering,EA,413,73.67,EGP,Approved
PO-70178,SUP-101,OFF-SUP-05,Office Supplies,EA,599,12.65,EGP,Approved
PO-70179,SUP-111,CAT-SERV-01,Catering,EA,273,82.47,EGP,Approved
PO-70180,SUP-102,MRO-FLT-02,MRO,EA,676,143.82,EGP,Approved
PO-70181,SUP-101,LOG-EXP-05,Logistics,EA,88,216.71,EGP,Approved
PO-70182,SUP-111,PKG-BOX-02,Packaging,EA,271,18.05,EGP,Approved
PO-70183,SUP-108,LOG-EXP-03,Logistics,EA,614,202.38,EGP,Approved
PO-70184,SUP-101,OFF-SUP-02,Office Supplies,EA,276,12.11,EGP,Approved
PO-70185,SUP-106,FAC-CLEAN-01,Facilities,EA,148,72.42,EGP,Approved
PO-70186,SUP-102,CAT-SERV-04,Catering,EA,74,84.63,EGP,Approved
PO-70187,SUP-102,IT-ACCESS-02,IT Peripherals,EA,383,127.1,EGP,Approved
PO-70188,SUP-103,IT-ACCESS-02,IT Peripherals,EA,656,124.16,EGP,Approved
PO-70189,SUP-100,MRO-FLT-02,MRO,EA,642,135.33,EGP,Approved
PO-70190,SUP-109,LOG-EXP-03,Logistics,EA,148,211.56,EGP,Approved
PO-70191,SUP-107,CAT-SERV-05,Catering,EA,592,101.29,EGP,Approved
PO-70192,SUP-102,CAT-SERV-01,Catering,EA,680,84.29,EGP,Approved
PO-70193,SUP-101,PKG-BOX-01,Packaging,EA,81,15.41,EGP,Approved
PO-70194,SUP-110,FAC-CLEAN-02,Facilities,EA,159,75.43,EGP,Approved
PO-70195,SUP-106,FAC-CLEAN-05,Facilities,EA,53,60.48,EGP,Approved
PO-70196,SUP-107,MRO-FLT-02,MRO,EA,445,127.5,EGP,Approved
PO-70197,SUP-101,IT-ACCESS-05,IT Peripherals,EA,340,104.34,EGP,Approved
PO-70198,SUP-103,MRO-FLT-05,MRO,EA,146,155.89,EGP,Approved
PO-70199,SUP-111,OFF-SUP-04,Office Supplies,EA,538,10.08,EGP,Approved
PO-70200,SUP-111,LOG-EXP-02,Logistics,EA,87,236.05,EGP,Approved
PO-70201,SUP-107,OFF-SUP-04,Office Supplies,EA,435,11.58,EGP,Approved
PO-70202,SUP-109,SEC-ACC-03,Security,EA,509,316.95,EGP,Approved
PO-70203,SUP-104,LOG-EXP-03,Logistics,EA,315,225.09,EGP,Approved
PO-70204,SUP-108,IT-ACCESS-02,IT Peripherals,EA,353,112.44,EGP,Approved
PO-70205,SUP-110,FAC-CLEAN-04,Facilities,EA,518,54.15,EGP,Approved
PO-70206,SUP-110,FAC-CLEAN-03,Facilities,EA,514,72.93,EGP,Approved
PO-70207,SUP-103,PKG-BOX-01,Packaging,EA,188,15.54,EGP,Approved
PO-70208,SUP-109,FAC-CLEAN-05,Facilities,EA,415,67.26,EGP,Approved
PO-70209,SUP-102,FAC-CLEAN-03,Facilities,EA,177,69.36,EGP,Approved
PO-70210,SUP-101,LOG-EXP-05,Logistics,EA,29,199.93,EGP,Approved
PO-70211,SUP-105,LOG-EXP-05,Logistics,EA,219,218.56,EGP,Approved
PO-70212,SUP-109,MRO-FLT-01,MRO,EA,263,140.73,EGP,Approved
PO-70213,SUP-106,PKG-BOX-04,Packaging,EA,539,20.83,EGP,Approved
PO-70214,SUP-111,SEC-ACC-01,Security,EA,474,364.93,EGP,Approved
PO-70215,SUP-111,OFF-SUP-01,Office Supplies,EA,313,11.0,EGP,Approved
PO-70216,SUP-111,OFF-SUP-01,Office Supplies,EA,540,11.48,EGP,Approved
PO-70217,SUP-110,CAT-SERV-02,Catering,EA,543,82.28,EGP,Approved
PO-70218,SUP-100,LOG-EXP-01,Logistics,EA,312,199.68,EGP,Approved
PO-70219,SUP-110,SEC-ACC-04,Security,EA,164,283.17,EGP,Approved
PO-70220,SUP-108,MRO-FLT-01,MRO,EA,570,140.92,EGP,Approved
PO-70221,SUP-106,FAC-CLEAN-03,Facilities,EA,298,70.35,EGP,Approved
PO-70222,SUP-107,PKG-BOX-02,Packaging,EA,294,19.53,EGP,Approved
PO-70223,SUP-101,PKG-BOX-04,Packaging,EA,156,18.77,EGP,Approved
PO-70224,SUP-107,SEC-ACC-03,Security,EA,200,292.32,EGP,Approved
PO-70225,SUP-104,FAC-CLEAN-04,Facilities,EA,595,56.82,EGP,Approved
PO-70226,SUP-104,FAC-CLEAN-04,Facilities,EA,643,60.99,EGP,Approved
PO-70227,SUP-107,IT-ACCESS-04,IT Peripherals,EA,385,119.55,EGP,Approved
PO-70228,SUP-102,CAT-SERV-01,Catering,EA,378,84.81,EGP,Approved
PO-70229,SUP-106,LOG-EXP-03,Logistics,EA,477,221.96,EGP,Approved
PO-70230,SUP-108,SEC-ACC-01,Security,EA,216,344.77,EGP,Approved
PO-70231,SUP-111,SEC-ACC-03,Security,EA,126,296.1,EGP,Approved
PO-70232,SUP-104,MRO-FLT-04,MRO,EA,438,151.1,EGP,Approved
PO-70233,SUP-102,LOG-EXP-03,Logistics,EA,543,213.35,EGP,Approved
PO-70234,SUP-111,FAC-CLEAN-04,Facilities,EA,504,58.34,EGP,Approved
PO-70235,SUP-110,IT-ACCESS-02,IT Peripherals,EA,289,126.19,EGP,Approved
PO-70236,SUP-108,OFF-SUP-05,Office Supplies,EA,622,12.08,EGP,Approved
PO-70237,SUP-104,IT-ACCESS-02,IT Peripherals,EA,671,121.76,EGP,Approved
PO-70238,SUP-100,PKG-BOX-03,Packaging,EA,455,14.9,EGP,Approved
PO-70239,SUP-103,FAC-CLEAN-01,Facilities,EA,681,79.06,EGP,Approved
PO-70240,SUP-104,IT-ACCESS-05,IT Peripherals,EA,68,113.65,EGP,Approved
PO-70241,SUP-100,SEC-ACC-01,Security,EA,449,364.5,EGP,Approved
PO-70242,SUP-102,LOG-EXP-04,Logistics,EA,338,218.16,EGP,Approved
PO-70243,SUP-103,OFF-SUP-03,Office Supplies,EA,667,10.95,EGP,Approved
PO-70244,SUP-108,PKG-BOX-04,Packaging,EA,462,19.12,EGP,Approved
PO-70245,SUP-107,PKG-BOX-03,Packaging,EA,125,14.73,EGP,Approved
PO-70246,SUP-104,IT-ACCESS-03,IT Peripherals,EA,315,127.01,EGP,Approved
PO-70247,SUP-106,PKG-BOX-04,Packaging,EA,45,19.68,EGP,Approved
PO-70248,SUP-106,CAT-SERV-04,Catering,EA,456,85.77,EGP,Approved
PO-70249,SUP-105,LOG-EXP-04,Logistics,EA,399,247.37,EGP,Approved
PO-70250,SUP-100,MRO-FLT-04,MRO,EA,459,163.25,EGP,Approved
PO-70251,SUP-102,CAT-SERV-04,Catering,EA,293,80.33,EGP,Approved
PO-70252,SUP-110,FAC-CLEAN-05,Facilities,EA,662,66.66,EGP,Approved
PO-70253,SUP-108,LOG-EXP-01,Logistics,EA,198,204.52,EGP,Approved
PO-70254,SUP-104,SEC-ACC-05,Security,EA,654,302.05,EGP,Approved
PO-70255,SUP-105,CAT-SERV-05,Catering,EA,689,100.73,EGP,Approved
PO-70256,SUP-106,FAC-CLEAN-02,Facilities,EA,411,69.06,EGP,Approved
PO-70257,SUP-110,MRO-FLT-02,MRO,EA,690,128.06,EGP,Approved
PO-70258,SUP-107,LOG-EXP-01,Logistics,EA,626,187.81,EGP,Approved
PO-70259,SUP-101,IT-ACCESS-05,IT Peripherals,EA,372,104.46,EGP,Approved
PO-70260,SUP-100,FAC-CLEAN-01,Facilities,EA,392,79.07,EGP,Approved
PO-70261,SUP-108,FAC-CLEAN-01,Facilities,EA,153,79.66,EGP,Approved
PO-70262,SUP-102,OFF-SUP-05,Office Supplies,EA,518,12.36,EGP,Approved
PO-70263,SUP-109,OFF-SUP-01,Office Supplies,EA,374,11.27,EGP,Approved
PO-70264,SUP-100,FAC-CLEAN-03,Facilities,EA,608,70.07,EGP,Approved
PO-70265,SUP-102,PKG-BOX-03,Packaging,EA,433,14.44,EGP,Approved
PO-70266,SUP-110,FAC-CLEAN-03,Facilities,EA,178,71.15,EGP,Approved
PO-70267,SUP-105,PKG-BOX-05,Packaging,EA,453,17.67,EGP,Approved
PO-70268,SUP-106,OFF-SUP-04,Office Supplies,EA,390,11.56,EGP,Approved
PO-70269,SUP-111,MRO-FLT-04,MRO,EA,374,149.38,EGP,Approved
PO-70270,SUP-107,MRO-FLT-04,MRO,EA,344,150.45,EGP,Approved
PO-70271,SUP-104,SEC-ACC-05,Security,EA,230,315.82,EGP,Approved
PO-70272,SUP-110,LOG-EXP-03,Logistics,EA,43,234.94,EGP,Approved
PO-70273,SUP-101,LOG-EXP-02,Logistics,EA,204,243.99,EGP,Approved
PO-70274,SUP-104,OFF-SUP-03,Office Supplies,EA,388,9.99,EGP,Approved
PO-70275,SUP-101,SEC-ACC-01,Security,EA,301,329.66,EGP,Approved
PO-70276,SUP-106,SEC-ACC-04,Security,EA,159,284.03,EGP,Approved
PO-70277,SUP-109,IT-ACCESS-04,IT Peripherals,EA,587,117.39,EGP,Approved
PO-70278,SUP-107,MRO-FLT-01,MRO,EA,203,162.45,EGP,Approved
PO-70279,SUP-104,SEC-ACC-02,Security,EA,82,336.64,EGP,Approved
PO-70280,SUP-111,FAC-CLEAN-02,Facilities,EA,217,65.95,EGP,Approved
PO-70281,SUP-101,IT-ACCESS-02,IT Peripherals,EA,392,125.91,EGP,Approved
PO-70282,SUP-110,OFF-SUP-05,Office Supplies,EA,131,12.21,EGP,Approved
PO-70283,SUP-102,FAC-CLEAN-05,Facilities,EA,500,59.23,EGP,Approved
PO-70284,SUP-108,MRO-FLT-01,MRO,EA,273,147.35,EGP,Approved
PO-70285,SUP-110,IT-ACCESS-05,IT Peripherals,EA,57,100.56,EGP,Approved
PO-70286,SUP-102,CAT-SERV-04,Catering,EA,481,77.74,EGP,Approved
PO-70287,SUP-108,OFF-SUP-04,Office Supplies,EA,695,10.48,EGP,Approved
PO-70288,SUP-104,MRO-FLT-05,MRO,EA,29,162.07,EGP,Approved
PO-70289,SUP-109,LOG-EXP-01,Logistics,EA,42,194.73,EGP,Approved
PO-70290,SUP-103,LOG-EXP-04,Logistics,EA,81,212.84,EGP,Approved
PO-70291,SUP-109,MRO-FLT-01,MRO,EA,381,146.36,EGP,Approved
PO-70292,SUP-108,SEC-ACC-01,Security,EA,568,332.97,EGP,Approved
PO-70293,SUP-101,OFF-SUP-02,Office Supplies,EA,43,12.39,EGP,Approved
PO-70294,SUP-111,LOG-EXP-02,Logistics,EA,301,219.54,EGP,Approved
PO-70295,SUP-102,CAT-SERV-01,Catering,EA,203,86.76,EGP,Approved
PO-70296,SUP-104,LOG-EXP-01,Logistics,EA,361,190.61,EGP,Approved
PO-70297,SUP-108,LOG-EXP-01,Logistics,EA,679,211.06,EGP,Approved
PO-70298,SUP-103,SEC-ACC-03,Security,EA,417,291.8,EGP,Approved
PO-70299,SUP-102,MRO-FLT-04,MRO,EA,574,145.68,EGP,Approved
PO-70300,SUP-103,CAT-SERV-03,Catering,EA,628,84.86,EGP,Approved
PO-70301,SUP-108,FAC-CLEAN-02,Facilities,EA,90,75.7,EGP,Approved
PO-70302,SUP-110,IT-ACCESS-04,IT Peripherals,EA,97,135.84,EGP,Approved
PO-70303,SUP-106,FAC-CLEAN-03,Facilities,EA,630,67.79,EGP,Approved
PO-70304,SUP-105,OFF-SUP-02,Office Supplies,EA,83,12.74,EGP,Approved
PO-70305,SUP-105,MRO-FLT-02,MRO,EA,221,124.48,EGP,Approved
PO-70306,SUP-103,LOG-EXP-01,Logistics,EA,446,198.25,EGP,Approved
PO-70307,SUP-103,MRO-FLT-04,MRO,EA,677,157.06,EGP,Approved
PO-70308,SUP-109,CAT-SERV-05,Catering,EA,331,88.42,EGP,Approved
PO-70309,SUP-110,OFF-SUP-04,Office Supplies,EA,611,10.98,EGP,Approved
PO-70310,SUP-101,IT-ACCESS-02,IT Peripherals,EA,398,112.45,EGP,Approved
