receipt_id,po_id,supplier_id,sku,received_qty,receipt_date
GR-50047,PO-70047,SUP-111,IT-ACCESS-04,380,2026-09-13
GR-50048,PO-70048,SUP-104,FAC-CLEAN-01,418,2026-08-13
GR-50049,PO-70049,SUP-107,PKG-BOX-05,40,2026-09-03
GR-50050,PO-70050,SUP-105,LOG-EXP-03,28,2026-08-26
GR-50051,PO-70051,SUP-103,OFF-SUP-03,504,2026-08-02
GR-50052,PO-70052,SUP-110,OFF-SUP-03,606,2026-09-09
GR-50053,PO-70053,SUP-107,LOG-EXP-02,636,2026-09-07
GR-50054,PO-70054,SUP-110,LOG-EXP-02,185,2026-09-08
GR-50055,PO-70055,SUP-102,PKG-BOX-04,96,2026-08-04
GR-50056,PO-70056,SUP-102,IT-ACCESS-03,30,2026-09-04
GR-50057,PO-70057,SUP-100,IT-ACCESS-01,155,2026-08-18
GR-50058,PO-70058,SUP-105,MRO-FLT-04,360,2026-08-21
GR-50059,PO-70059,SUP-106,PKG-BOX-02,359,2026-08-22
GR-50060,PO-70060,SUP-101,FAC-CLEAN-01,672,2026-08-29
GR-50061,PO-70061,SUP-104,CAT-SERV-04,120,2026-08-28
GR-50062,PO-70062,SUP-105,PKG-BOX-05,118,2026-08-28
GR-50063,PO-70063,SUP-103,MRO-FLT-05,173,2026-08-25
GR-50064,PO-70064,SUP-108,SEC-ACC-03,365,2026-09-03
GR-50065,PO-70065,SUP-110,MRO-FLT-01,268,2026-09-09
GR-50066,PO-70066,SUP-104,MRO-FLT-03,345,2026-08-21
GR-50067,PO-70067,SUP-101,OFF-SUP-04,172,2026-08-24
GR-50068,PO-70068,SUP-103,PKG-BOX-02,507,2026-09-12
GR-50069,PO-70069,SUP-106,SEC-ACC-01,337,2026-09-15
GR-50070,PO-70070,SUP-107,CAT-SERV-05,113,2026-08-04
GR-50071,PO-70071,SUP-111,PKG-BOX-04,115,2026-08-11
GR-50072,PO-70072,SUP-108,MRO-FLT-04,326,2026-09-08
GR-50073,PO-70073,SUP-109,OFF-SUP-02,499,2026-08-25
GR-50074,PO-70074,SUP-106,PKG-BOX-05,519,2026-09-11
GR-50075,PO-70075,SUP-106,LOG-EXP-04,359,2026-08-19
GR-50076,PO-70076,SUP-100,FAC-CLEAN-03,235,2026-09-12
GR-50077,PO-70077,SUP-106,MRO-FLT-04,23,2026-09-15
GR-50078,PO-70078,SUP-107,SEC-ACC-01,605,2026-09-09
GR-50079,PO-70079,SUP-107,PKG-BOX-03,390,2026-08-14
GR-50080,PO-70080,SUP-100,LOG-EXP-04,96,2026-09-15
GR-50081,PO-70081,SUP-100,PKG-BOX-02,530,2026-09-06
GR-50082,PO-70082,SUP-100,IT-ACCESS-02,248,2026-09-01
GR-50083,PO-70083,SUP-108,SEC-ACC-05,475,2026-08-11
GR-50084,PO-70084,SUP-111,IT-ACCESS-01,342,2026-08-19
GR-50085,PO-70085,SUP-104,FAC-CLEAN-05,546,2026-08-14
GR-50086,PO-70086,SUP-106,LOG-EXP-01,581,2026-08-16
GR-50087,PO-70087,SUP-107,CAT-SERV-05,219,2026-08-27
GR-50088,PO-70088,SUP-100,MRO-FLT-04,277,2026-08-07
GR-50089,PO-70089,SUP-106,FAC-CLEAN-04,30,2026-08-16
GR-50090,PO-70090,SUP-106,SEC-ACC-01,366,2026-08-15
GR-50091,PO-70091,SUP-102,OFF-SUP-05,386,2026-08-12
GR-50092,PO-70092,SUP-100,SEC-ACC-05,212,2026-08-30
GR-50093,PO-70093,SUP-108,MRO-FLT-04,193,2026-08-09
GR-50094,PO-70094,SUP-103,OFF-SUP-02,660,2026-08-02
GR-50095,PO-70095,SUP-100,IT-ACCESS-02,183,2026-08-24
GR-50096,PO-70096,SUP-107,IT-ACCESS-05,254,2026-08-14
GR-50097,PO-70097,SUP-103,IT-ACCESS-01,96,2026-08-24
GR-50098,PO-70098,SUP-106,PKG-BOX-03,538,2026-08-15
GR-50099,PO-70099,SUP-104,OFF-SUP-03,167,2026-08-22
GR-50100,PO-70100,SUP-103,IT-ACCESS-02,103,2026-08-09
GR-50101,PO-70101,SUP-105,MRO-FLT-05,172,2026-09-09
GR-50102,PO-70102,SUP-105,MRO-FLT-05,127,2026-08-12
GR-50103,PO-70103,SUP-110,MRO-FLT-05,689,2026-08-26
GR-50104,PO-70104,SUP-104,MRO-FLT-01,438,2026-09-03
GR-50105,PO-70105,SUP-108,OFF-SUP-02,553,2026-08-06
GR-50106,PO-70106,SUP-101,SEC-ACC-02,443,2026-08-06
GR-50107,PO-70107,SUP-111,MRO-FLT-03,389,2026-08-20
GR-50108,PO-70108,SUP-100,OFF-SUP-04,305,2026-09-14
GR-50109,PO-70109,SUP-102,FAC-CLEAN-02,545,2026-08-09
GR-50110,PO-70110,SUP-108,MRO-FLT-02,508,2026-08-07
GR-50111,PO-70111,SUP-109,IT-ACCESS-02,250,2026-09-05
GR-50112,PO-70112,SUP-101,PKG-BOX-04,239,2026-09-12
GR-50113,PO-70113,SUP-105,LOG-EXP-04,574,2026-08-19
GR-50114,PO-70114,SUP-109,MRO-FLT-02,628,2026-09-09
GR-50115,PO-70115,SUP-108,PKG-BOX-03,329,2026-09-07
GR-50116,PO-70116,SUP-103,OFF-SUP-01,241,2026-08-01
GR-50117,PO-70117,SUP-102,IT-ACCESS-03,240,2026-08-16
GR-50118,PO-70118,SUP-111,IT-ACCESS-01,502,2026-08-16
GR-50119,PO-70119,SUP-106,PKG-BOX-05,56,2026-08-01
GR-50120,PO-70120,SUP-105,OFF-SUP-02,614,2026-08-15
GR-50121,PO-70121,SUP-111,IT-ACCESS-05,395,2026-08-19
GR-50122,PO-70122,SUP-101,PKG-BOX-03,527,2026-08-24
GR-50123,PO-70123,SUP-110,IT-ACCESS-05,259,2026-09-09
GR-50124,PO-70124,SUP-109,IT-ACCESS-02,49,2026-08-11
GR-50125,PO-70125,SUP-110,FAC-CLEAN-03,433,2026-08-09
GR-50126,PO-70126,SUP-110,MRO-FLT-03,511,2026-08-16
GR-50127,PO-70127,SUP-110,IT-ACCESS-03,21,2026-08-21
GR-50128,PO-70128,SUP-101,LOG-EXP-05,261,2026-09-08
GR-50129,PO-70129,SUP-102,CAT-SERV-04,128,2026-08-08
GR-50130,PO-70130,SUP-105,IT-ACCESS-03,653,2026-09-08
GR-50131,PO-70131,SUP-105,LOG-EXP-05,581,2026-08-26
GR-50132,PO-70132,SUP-107,OFF-SUP-02,53,2026-08-10
GR-50133,PO-70133,SUP-100,SEC-ACC-01,357,2026-08-19
GR-50134,PO-70134,SUP-107,SEC-ACC-02,344,2026-08-20
GR-50135,PO-70135,SUP-107,OFF-SUP-02,67,2026-08-26
GR-50136,PO-70136,SUP-100,MRO-FLT-04,660,2026-08-21
GR-50137,PO-70137,SUP-111,LOG-EXP-05,487,2026-09-11
GR-50138,PO-70138,SUP-110,OFF-SUP-05,234,2026-09-02
GR-50139,PO-70139,SUP-101,SEC-ACC-04,224,2026-08-15
GR-50140,PO-70140,SUP-109,FAC-CLEAN-02,604,2026-08-08
GR-50141,PO-70141,SUP-103,LOG-EXP-02,197,2026-09-14
GR-50142,PO-70142,SUP-107,MRO-FLT-04,513,2026-09-03
GR-50143,PO-70143,SUP-100,MRO-FLT-02,371,2026-08-17
GR-50144,PO-70144,SUP-103,LOG-EXP-04,570,2026-09-07
GR-50145,PO-70145,SUP-111,CAT-SERV-04,215,2026-08-11
GR-50146,PO-70146,SUP-102,OFF-SUP-03,405,2026-08-22
GR-50147,PO-70147,SUP-109,OFF-SUP-02,199,2026-08-02
GR-50148,PO-70148,SUP-101,FAC-CLEAN-05,458,2026-08-21
GR-50149,PO-70149,SUP-105,IT-ACCESS-02,275,2026-08-30
GR-50150,PO-70150,SUP-103,FAC-CLEAN-05,313,2026-09-02
GR-50151,PO-70151,SUP-106,MRO-FLT-01,176,2026-08-01
GR-50152,PO-70152,SUP-101,IT-ACCESS-05,450,2026-08-14
GR-50153,PO-70153,SUP-108,LOG-EXP-05,538,2026-09-07
GR-50154,PO-70154,SUP-108,OFF-SUP-05,533,2026-09-10
GR-50155,PO-70155,SUP-103,MRO-FLT-02,65,2026-08-21
GR-50156,PO-70156,SUP-108,OFF-SUP-02,576,2026-09-09
GR-50157,PO-70157,SUP-100,SEC-ACC-03,81,2026-09-04
GR-50158,PO-70158,SUP-103,PKG-BOX-04,253,2026-09-04
GR-50159,PO-70159,SUP-101,FAC-CLEAN-03,130,2026-09-15
GR-50160,PO-70160,SUP-111,PKG-BOX-03,261,2026-09-10
GR-50161,PO-70161,SUP-111,OFF-SUP-02,201,2026-08-26
GR-50162,PO-70162,SUP-106,IT-ACCESS-02,50,2026-08-12
GR-50163,PO-70163,SUP-104,SEC-ACC-04,396,2026-08-25
GR-50164,PO-70164,SUP-110,OFF-SUP-03,61,2026-09-11
GR-50165,PO-70165,SUP-101,CAT-SERV-01,328,2026-08-10
GR-50166,PO-70166,SUP-100,OFF-SUP-03,164,2026-08-20
GR-50167,PO-70167,SUP-102,SEC-ACC-05,225,2026-08-17
GR-50168,PO-70168,SUP-109,FAC-CLEAN-04,578,2026-08-05
GR-50169,PO-70169,SUP-102,IT-ACCESS-05,599,2026-08-07
GR-50170,PO-70170,SUP-103,IT-ACCESS-03,338,2026-08-08
GR-50171,PO-70171,SUP-103,PKG-BOX-05,626,2026-08-27
GR-50172,PO-70172,SUP-111,FAC-CLEAN-03,85,2026-08-17
GR-50173,PO-70173,SUP-104,OFF-SUP-01,600,2026-08-16
GR-50174,PO-70174,SUP-103,PKG-BOX-04,423,2026-08-16
GR-50175,PO-70175,SUP-106,FAC-CLEAN-02,472,2026-08-26
GR-50176,PO-70176,SUP-111,SEC-ACC-04,586,2026-08-03
GR-50177,PO-70177,SUP-111,CAT-SERV-02,375,2026-09-01
GR-50178,PO-70178,SUP-101,OFF-SUP-05,573,2026-08-01
GR-50179,PO-70179,SUP-111,CAT-SERV-01,255,2026-08-08
GR-50180,PO-70180,SUP-102,MRO-FLT-02,619,2026-08-09
GR-50181,PO-70181,SUP-101,LOG-EXP-05,87,2026-08-26
GR-50182,PO-70182,SUP-111,PKG-BOX-02,248,2026-09-06
GR-50183,PO-70183,SUP-108,LOG-EXP-03,584,2026-08-22
GR-50184,PO-70184,SUP-101,OFF-SUP-02,261,2026-08-22
GR-50185,PO-70185,SUP-106,FAC-CLEAN-01,141,2026-09-13
GR-50186,PO-70186,SUP-102,CAT-SERV-04,68,2026-08-30
GR-50187,PO-70187,SUP-102,IT-ACCESS-02,376,2026-09-02
GR-50188,PO-70188,SUP-103,IT-ACCESS-02,638,2026-08-03
GR-50189,PO-70189,SUP-100,MRO-FLT-02,592,2026-08-21
GR-50190,PO-70190,SUP-109,LOG-EXP-03,139,2026-09-09
GR-50191,PO-70191,SUP-107,CAT-SERV-05,538,2026-09-06
GR-50192,PO-70192,SUP-102,CAT-SERV-01,649,2026-08-21
GR-50193,PO-70193,SUP-101,PKG-BOX-01,80,2026-09-12
GR-50194,PO-70194,SUP-110,FAC-CLEAN-02,154,2026-08-24
GR-50195,PO-70195,SUP-106,FAC-CLEAN-05,53,2026-08-09
GR-50196,PO-70196,SUP-107,MRO-FLT-02,445,2026-08-30
GR-50197,PO-70197,SUP-101,IT-ACCESS-05,333,2026-08-15
GR-50198,PO-70198,SUP-103,MRO-FLT-05,137,2026-09-07
GR-50199,PO-70199,SUP-111,OFF-SUP-04,529,2026-08-25
GR-50200,PO-70200,SUP-111,LOG-EXP-02,84,2026-09-14
GR-50201,PO-70201,SUP-107,OFF-SUP-04,433,2026-08-23
GR-50202,PO-70202,SUP-109,SEC-ACC-03,477,2026-08-21
GR-50203,PO-70203,SUP-104,LOG-EXP-03,295,2026-08-28
GR-50204,PO-70204,SUP-108,IT-ACCESS-02,337,2026-08-18
GR-50205,PO-70205,SUP-110,FAC-CLEAN-04,505,2026-08-14
GR-50206,PO-70206,SUP-110,FAC-CLEAN-03,476,2026-09-04
GR-50207,PO-70207,SUP-103,PKG-BOX-01,183,2026-09-08
GR-50208,PO-70208,SUP-109,FAC-CLEAN-05,385,2026-08-21
GR-50209,PO-70209,SUP-102,FAC-CLEAN-03,170,2026-09-11
GR-50210,PO-70210,SUP-101,LOG-EXP-05,29,2026-09-11
GR-50211,PO-70211,SUP-105,LOG-EXP-05,419,2026-08-22
GR-50212,PO-70212,SUP-109,MRO-FLT-01,252,2026-08-27
GR-50213,PO-70213,SUP-106,PKG-BOX-04,510,2026-09-02
GR-50214,PO-70214,SUP-111,SEC-ACC-01,433,2026-08-06
GR-50215,PO-70215,SUP-111,OFF-SUP-01,303,2026-08-10
GR-50216,PO-70216,SUP-111,OFF-SUP-01,519,2026-09-04
GR-50217,PO-70217,SUP-110,CAT-SERV-02,543,2026-08-11
GR-50218,PO-70218,SUP-100,LOG-EXP-01,288,2026-09-05
GR-50219,PO-70219,SUP-110,SEC-ACC-04,159,2026-09-15
GR-50220,PO-70220,SUP-108,MRO-FLT-01,551,2026-09-04
GR-50221,PO-70221,SUP-106,FAC-CLEAN-03,283,2026-08-30
GR-50222,PO-70222,SUP-107,PKG-BOX-02,266,2026-09-03
GR-50223,PO-70223,SUP-101,PKG-BOX-04,153,2026-08-14
GR-50224,PO-70224,SUP-107,SEC-ACC-03,195,2026-08-07
GR-50225,PO-70225,SUP-104,FAC-CLEAN-04,590,2026-08-08
GR-50226,PO-70226,SUP-104,FAC-CLEAN-04,643,2026-08-25
GR-50227,PO-70227,SUP-107,IT-ACCESS-04,385,2026-09-13
GR-50228,PO-70228,SUP-102,CAT-SERV-01,378,2026-08-29
GR-50229,PO-70229,SUP-106,LOG-EXP-03,454,2026-09-08
GR-50230,PO-70230,SUP-108,SEC-ACC-01,202,2026-08-16
GR-50231,PO-70231,SUP-111,SEC-ACC-03,115,2026-08-31
GR-50232,PO-70232,SUP-104,MRO-FLT-04,438,2026-08-18
GR-50233,PO-70233,SUP-102,LOG-EXP-03,528,2026-08-31
GR-50234,PO-70234,SUP-111,FAC-CLEAN-04,481,2026-08-03
GR-50235,PO-70235,SUP-110,IT-ACCESS-02,279,2026-09-04
GR-50236,PO-70236,SUP-108,OFF-SUP-05,597,2026-09-05
GR-50237,PO-70237,SUP-104,IT-ACCESS-02,647,2026-09-04
GR-50238,PO-70238,SUP-100,PKG-BOX-03,418,2026-09-07
GR-50239,PO-70239,SUP-103,FAC-CLEAN-01,625,2026-08-08
GR-50240,PO-70240,SUP-104,IT-ACCESS-05,68,2026-08-07
GR-50241,PO-70241,SUP-100,SEC-ACC-01,430,2026-08-25
GR-50242,PO-70242,SUP-102,LOG-EXP-04,338,2026-08-20
GR-50243,PO-70243,SUP-103,OFF-SUP-03,622,2026-09-10
GR-50244,PO-70244,SUP-108,PKG-BOX-04,421,2026-08-12
GR-50245,PO-70245,SUP-107,PKG-BOX-03,118,2026-08-26
GR-50246,PO-70246,SUP-104,IT-ACCESS-03,313,2026-09-08
GR-50247,PO-70247,SUP-106,PKG-BOX-04,42,2026-08-04
GR-50248,PO-70248,SUP-106,CAT-SERV-04,429,2026-08-19
GR-50249,PO-70249,SUP-105,LOG-EXP-04,381,2026-08-28
GR-50250,PO-70250,SUP-100,MRO-FLT-04,440,2026-08-10
GR-50251,PO-70251,SUP-102,CAT-SERV-04,275,2026-08-15
GR-50252,PO-70252,SUP-110,FAC-CLEAN-05,662,2026-09-15
GR-50253,PO-70253,SUP-108,LOG-EXP-01,198,2026-09-15
GR-50254,PO-70254,SUP-104,SEC-ACC-05,611,2026-09-08
GR-50255,PO-70255,SUP-105,CAT-SERV-05,689,2026-08-02
GR-50256,PO-70256,SUP-106,FAC-CLEAN-02,385,2026-08-20
GR-50257,PO-70257,SUP-110,MRO-FLT-02,660,2026-08-09
GR-50258,PO-70258,SUP-107,LOG-EXP-01,609,2026-09-12
GR-50259,PO-70259,SUP-101,IT-ACCESS-05,350,2026-08-18
GR-50260,PO-70260,SUP-100,FAC-CLEAN-01,386,2026-09-01
GR-50261,PO-70261,SUP-108,FAC-CLEAN-01,145,2026-08-26
GR-50262,PO-70262,SUP-102,OFF-SUP-05,516,2026-08-15
GR-50263,PO-70263,SUP-109,OFF-SUP-01,345,2026-09-09
GR-50264,PO-70264,SUP-100,FAC-CLEAN-03,595,2026-08-04
GR-50265,PO-70265,SUP-102,PKG-BOX-03,394,2026-08-24
GR-50266,PO-70266,SUP-110,FAC-CLEAN-03,162,2026-08-04
GR-50267,PO-70267,SUP-105,PKG-BOX-05,428,2026-09-02
GR-50268,PO-70268,SUP-106,OFF-SUP-04,378,2026-09-14
GR-50269,PO-70269,SUP-111,MRO-FLT-04,347,2026-08-31
GR-50270,PO-70270,SUP-107,MRO-FLT-04,313,2026-08-25
GR-50271,PO-70271,SUP-104,SEC-ACC-05,229,2026-08-24
GR-50272,PO-70272,SUP-110,LOG-EXP-03,42,2026-08-09
GR-50273,PO-70273,SUP-101,LOG-EXP-02,201,2026-08-25
GR-50274,PO-70274,SUP-104,OFF-SUP-03,369,2026-09-01
GR-50275,PO-70275,SUP-101,SEC-ACC-01,301,2026-08-15
GR-50276,PO-70276,SUP-106,SEC-ACC-04,151,2026-09-04
GR-50277,PO-70277,SUP-109,IT-ACCESS-04,533,2026-08-12
GR-50278,PO-70278,SUP-107,MRO-FLT-01,185,2026-08-17
GR-50279,PO-70279,SUP-104,SEC-ACC-02,75,2026-08-05
GR-50280,PO-70280,SUP-111,FAC-CLEAN-02,208,2026-09-03
GR-50281,PO-70281,SUP-101,IT-ACCESS-02,376,2026-09-15
GR-50282,PO-70282,SUP-110,OFF-SUP-05,126,2026-09-09
GR-50283,PO-70283,SUP-102,FAC-CLEAN-05,485,2026-08-26
GR-50284,PO-70284,SUP-108,MRO-FLT-01,266,2026-08-14
GR-50285,PO-70285,SUP-110,IT-ACCESS-05,55,2026-09-04
GR-50286,PO-70286,SUP-102,CAT-SERV-04,481,2026-09-13
GR-50287,PO-70287,SUP-108,OFF-SUP-04,688,2026-08-24
GR-50288,PO-70288,SUP-104,MRO-FLT-05,29,2026-08-02
GR-50289,PO-70289,SUP-109,LOG-EXP-01,39,2026-08-18
GR-50290,PO-70290,SUP-103,LOG-EXP-04,79,2026-09-04
GR-50291,PO-70291,SUP-109,MRO-FLT-01,354,2026-09-08
GR-50292,PO-70292,SUP-108,SEC-ACC-01,517,2026-09-15
GR-50293,PO-70293,SUP-101,OFF-SUP-02,43,2026-08-28
GR-50294,PO-70294,SUP-111,LOG-EXP-02,288,2026-08-13
GR-50295,PO-70295,SUP-102,CAT-SERV-01,188,2026-08-16
GR-50296,PO-70296,SUP-104,LOG-EXP-01,340,2026-08-27
GR-50297,PO-70297,SUP-108,LOG-EXP-01,668,2026-08-07
GR-50298,PO-70298,SUP-103,SEC-ACC-03,403,2026-08-26
GR-50299,PO-70299,SUP-102,MRO-FLT-04,558,2026-08-12
GR-50300,PO-70300,SUP-103,CAT-SERV-03,621,2026-08-28
GR-50301,PO-70301,SUP-108,FAC-CLEAN-02,88,2026-09-10
GR-50302,PO-70302,SUP-110,IT-ACCESS-04,95,2026-08-17
GR-50303,PO-70303,SUP-106,FAC-CLEAN-03,593,2026-08-02
GR-50304,PO-70304,SUP-105,OFF-SUP-02,80,2026-08-07
GR-50305,PO-70305,SUP-105,MRO-FLT-02,210,2026-08-12
GR-50306,PO-70306,SUP-103,LOG-EXP-01,416,2026-08-25
GR-50307,PO-70307,SUP-103,MRO-FLT-04,654,2026-08-03
GR-50308,PO-70308,SUP-109,CAT-SERV-05,331,2026-08-06
GR-50309,PO-70309,SUP-110,OFF-SUP-04,584,2026-09-04
GR-50310,PO-70310,SUP-101,IT-ACCESS-02,369,2026-08-30
GR-50311,PO-70311,SUP-108,LOG-EXP-04,474,2026-09-10
GR-50312,PO-70312,SUP-102,LOG-EXP-02,667,2026-08-15
GR-50313,PO-70313,SUP-107,OFF-SUP-05,48,2026-09-04
GR-50314,PO-70314,SUP-101,PKG-BOX-03,233,2026-08-28
GR-50315,PO-70315,SUP-104,IT-ACCESS-04,277,2026-08-14
GR-50316,PO-70316,SUP-107,PKG-BOX-05,644,2026-08-19
GR-50317,PO-70317,SUP-103,CAT-SERV-05,156,2026-08-23
GR-50318,PO-70318,SUP-103,SEC-ACC-04,105,2026-08-18
GR-50319,PO-70319,SUP-108,FAC-CLEAN-02,67,2026-09-03
